id,name,Churn realizado,Coordenador,Account,GT,Data Atualização dos Dados,Flag calculada,Fee,LT ,Tempo de Contrato,Data de vencimento do contrato,ARR,Tier,Cidade,Modalidade de Vendas,Segment,Status,Prioridade,Produto 2,Produto 3,Plano de Ação,Coluna 23,Coluna 24
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
