ok ,name,Churn realizado,Coordenador,Account,GT,Data Atualização dos Dados,Meta de MQL,Entregas prazo,Entregas qualidade,Relacionamento,Flag calculada,Health Médio,Resultados,Objetivo Smart,KR 1,Realizado KR1,Pacing KR1,Definição de MQL,KR 2,Realizado KR2,Pacing KR2,KR 3,Realizado KR3,Pacing KR3,Plano Ação,Definição de MQL,Realizado KR3,Pacing KR3,Link Replanejamento,Customer Care Status,Tem Loop Aberto,Link do Loop (doc),Start Plano,Link projeto Ekyte,Deadline Plano,Auditado pelo Gerente,Step,Fee,Total Media Plan,Meta Media Plan,Google Media Plan,Saldo em Conta Meta,Saldo em Conta Google,LT ,Data de início do contrato,Data de vencimento do contrato,Last CSAT Matriz (m/ano),CSAT atendimento,CSAT prazo,CSAT resultados,CSAT Copy,CSAT Design,CSAT campanhas,MHS,NPS,ARR,Tier,Cidade,Modalidade de Vendas,Segment,Link CAC Mapeado,Link do Growthpack,Link PIC,Link Contrato
,ULTRAFARMA CAPELINHA,Não,Felipe Gonçalves,Gersson,Ruanderson,03/08/2026,FALSE,TRUE,TRUE,FALSE,🔴 DANGER,16,6,300000 Faturamento mensal,"R$ 300.000,00",125000,"41,67%",,,,,,,,"- Alinhar com o cliente sobre os prazos de criação;
- Conversão no google ads;
- Treinamentos comerciais;
- Estudar sobre giftback;
",,,,,Aviso Prévio,,,,,,,,,,,,,,,,,01/07/2026,5,5,4,,4,4,,7,,,,,,,,,
1169732528,PRIME MECANICA [standby],Sim,Felipe Gonçalves,Diego Senzi,Wesley Elioenai,07/07/2026,FALSE,FALSE,FALSE,TRUE,⚫ CRITICAL,7,4,,,,,,,,,,,, ,,Aviso Prévio,Sim,,Aviso Prévio,Sim,PRIME MECANICA | Link do Loop,26/06/2026,eKyte,10/07/2026,,V1," R$  6.000,00 ","R$ 3.000,00","R$ 1.000,00","R$ 2.000,00",#REF!,,#REF!,02/07/2025,23/06/2026,01/07/2026,3,1,1,1,1,1,,1,,SMALL,"Chapecó, SC",PDV,Automotivo,Q2 | CAC e Breakeven | Prime Mecânica,Prime | GrowthPack V26 (Inside Sales),,PRIME MECANICA: Link do Contrato
1296587931,SEG ELETRONIC [standby],Sim,Felipe Gonçalves,Diego Senzi,Wesley Elioenai,07/07/2026,FALSE,FALSE,FALSE,FALSE,⚫ CRITICAL,1,1,,,,,,,,,,,,,,Antecipação,Sim,,Tratativa,Sim,SEG ELETRONIC | Link do Loop,26/06/2026,eKyte,10/07/2026,,V1," R$  4.500,00 ","R$ 2.000,00","R$ 2.000,00","R$ 0,00",#REF!,,11,02/01/2026,13/08/2026,,,,,,,,,,,SMALL,"Cabo Frio, RJ",PDV,Segurança,Q1 | CAC e Breakeven | Seg Eletronic,Seg Eletronic| GrowthPack V26 (Inside Sales),,SEG: Link do Contrato
1296485770,ESPAÇO MASTER,Não,Felipe Gonçalves,Diego Senzi,Wesley Elioenai,21/08/2026,FALSE,FALSE,TRUE,FALSE,⚫ CRITICAL,5,0,3 Vendas,"R$ 3,00","R$ 0,00","0,00%",,,,,,,,"F: não temos visão do funil MQL
C: Cliente não assinou o CRM
A1: Criar uma planilha para realizar o minimo de gerenciamento de lead
A2: Lead oculto
A3: Felipe enviar uma mensagem para o cliente",,Saudável,Sim,https://review-quarter-6mvksa2d1-luisguilherme-2954s-projects.vercel.app/,Saudável,Sim,ESPAÇO MASTER | Link do Loop,26/06/2026,eKyte,17/07/2026,,V1," R$  5.017,17 ","R$ 3.000,00","R$ 1.000,00","R$ 2.000,00",#REF!,,8,16/02/2026,22/08/2026,,,,,,,,,,,SMALL,"Belo Horizonte, MG",PDV,Saúde ,Cliente está com restrição,ESPAÇO MASTER  _ GrowthPack V26 (Inside Sales) (2),,ESPAÇO MASTER: Link do Contrato
1296485770,ALPHAVILLE,Não,Felipe Gonçalves,Jaqueline Ventura,Wesley Elioenai,03/08/2026,FALSE,FALSE,FALSE,TRUE,⚫ CRITICAL,3,0,"Faturamento de R$ 80.000,00 mês/100k mês","R$ 80.000,00","R$ 0,00","0,00%",,,,,,,,,,Antecipação,Sim,,Antecipação,Sim,ALPHAVILLE | Link do Loop,26/06/2026,eKyte,13/07/2026,,V2," R$  2.000,00 ","R$ 2.000,00","R$ 1.500,00","R$ 500,00",#REF!,,32,07/03/2024,16/01/2027,,,,,,,,,,,SMALL,"Camboriu, SC",Inside Sales,Construção civil,Q1 | CAC e Breakeven | Alphaville Fechamento de Sacadas,Alphaville Sacadas | GrowthPack V26 (Inside Sales),,ALPHAVILLE: Link do Contrato
1327042467,LAMARCA 3,Não,Felipe Gonçalves,Diego Senzi,Wesley Elioenai,21/08/2026,FALSE,FALSE,FALSE,FALSE,⚫ CRITICAL,0,0,"Faturamento de R$ 55.000,00 mês","R$ 55.000,00","R$ 0,00","0,00%",,"40,00%",0,"0,00%","15,00%",,,"F: Não consigo visualizar o atendimento dos leads
C: Cliente tem um CRM caseiro feito por IA
A: Levar o comercial no próximo check in de quinta feira, e analisar como está o atendimento dos leads MQL que foram gerados, check in quarta feira;
A2: Apresentar o lead oculto para o Rogerio;
A3: Treinamento comercial
A4: Novos criativos para testarmos comunicações diferentes",40% Leads > MQL,Antecipação,Sim,https://lamarca-3-replanejamento.diegosenzi.chatgpt.site/,Antecipação,Sim,Lamarca 3 | Link do Loop,26/06/2026,eKyte,14/07/2026,,V1," R$  3.961,21 ","R$ 2.000,00","R$ 800,00","R$ 1.200,00",#REF!,,#NUM!,23/03/2026,04/08/2026,,,,,,,,,,"R$ 4.400.000,00",SMALL,"São Paulo, SP",Inside Sales,Comunicação e mídia,MC e Breakeven | Lamarca 3,[Lamarca3] Growth Pack 3.1 - 2026 | Wesley Elioenai,,LAMARCA 3: Link do Contrato
1334140282,FGND,Não,Felipe Gonçalves,Diego Senzi,Wesley Elioenai,21/08/2026,FALSE,FALSE,FALSE,TRUE,⚫ CRITICAL,3,0,10000 leads,"R$ 10.000,00",-,#VALUE!,,,3,"0,00%","0,00%",,,"F: Mudou o produto
C: Falta de resultado
A: Executar todo o playbook do cliente, até o dia 31",,Antecipação,Sim,,Antecipação,Sim,FGND | Link do Loop,26/06/2026,eKyte,16/07/2026,,V1," R$  7.527,92 ","R$ 10.000,00","R$ 4.690,00","R$ 3.550,00",#REF!,#REF!,6,13/04/2026,04/08/2026,,,,,,,,,,"R$ 0,00",SMALL,"Rio de Janeiro, RJ",SaaS,Tecnologia / SaaS,MC e Breakeven | FGND,[FGND] Growth Pack 3.1 - 2026 | Wesley Elioenai,,FGND: Link do Contrato
1334140282,CONCREART,Não,Felipe Gonçalves,Diego Senzi,Wesley Elioenai,21/08/2026,FALSE,FALSE,FALSE,FALSE,⚫ CRITICAL,3,3,100 mil no mês ,"R$ 100.000,00","R$ 30.000,00","342,86%",,"40,00%",0,"0,00%",15,"0,00%",,"F: Falta de visibilidade de atendimento
C: Cliente com baixo nivel de maturidade digital
A: Treinamento de CRM para o comercial, saber fazer o gerenciamento dos leads dentro do CRM Kommo
A2: Garantir que os leads estão caindo no CRM;",40% Lead > Projeto/Proposta (MQL),Antecipação,Sim,https://concreart-quarter-report.diegosenzi.chatgpt.site/,Antecipação,Sim,CONCREART | Link do Loop,26/06/2026,eKyte,13/07/2026,,V1," R$  6.064,16 ","R$ 1.500,00","R$ 1.200,00","R$ 800,00",#REF!,,#REF!,30/04/2026,04/08/2026,,,,,,,,,,,SMALL,"Campo Grande, MS",Inside Sales,Construção civil,MC e Breakeven | Concreart,[Concreart] Growth Pack 3.1 - 2026 | Wesley Elioenai,,CONCREART: Link do Contrato
1334140282,ARMAZÉM DA COSTURA,Não,Felipe Gonçalves,Jaqueline Ventura,Wesley Elioenai,03/08/2026,FALSE,FALSE,FALSE,TRUE,⚫ CRITICAL,3,0,"Faturamento de R$ 8.750,00 mês","R$ 8.750,00","R$ 0,00","0,00%",,24%,0,"0,00%","R$ 350,00",0,,,40% Lead > Orçamento (MQL),Antecipação,Sim,https://armazem-da-costura-replanejamento.diegosenzi.chatgpt.site/,Antecipação,Sim,ARMAZÉM DA COSTURA | Link do Loop,26/06/2026,eKyte,13/07/2026,,V1," R$  3.168,97 ","R$ 2.000,00","R$ 1.300,00","R$ 700,00",#REF!,,#REF!,16/02/2026,04/08/2026,01/07/2026,4,5,2,4,5,2,,6,"R$ 781.500,00",SMALL,"Ponta Grossa, PR",PDV,Moda e vestuário,MC e Breakeven | Armazém da Costura,[Armazém da Costura] Growth Pack 3.1 - 2026 | Wesley Elioenai,,ARMAZÉM DA COSTURA: Link do Contrato
1334140282,REDE CONVEM,Não,Felipe Gonçalves,Diego Senzi,Wesley Elioenai,21/08/2026,FALSE,FALSE,TRUE,FALSE,⚫ CRITICAL,5,0,Dificuldades de mensurar resultado,,,,,,,,,,,A: Tocar o projeto social boost;,,Saudável,Sim,,Saudável,Sim,REDE CONVEM | Link do Loop,26/06/2026,eKyte,14/07/2026,,V1," R$  8.385,37 ","R$ 5.000,00","R$ 3.800,00","R$ 1.200,00",#REF!,,6,25/05/2026,04/08/2026,01/07/2026,5,5,5,5,5,5,,10,"R$ 28.000.000,00",SMALL,"Saquarema, RJ",PDV,Alimentício,MC e Breakeven | Rede Convem,[Rede Convém | BK] Growth Pack 3.1 - 2026 | Wesley Elioenai,,Rede Convem: Link do Contrato
1334140282,AMO Ofertas,Não,Felipe Gonçalves,Diego Senzi,Wesley Elioenai,21/08/2026,FALSE,TRUE,TRUE,TRUE,⚫ CRITICAL,13,0,CAC de até 8% do valor da venda,"R$ 0,02",-,#VALUE!,,5000,-,-,150,,,-,450 Checkout,Saudável,Não,,Saudável,Sim,AMO Ofertas | Link do Loop,26/06/2026,ekyte,13/07/2026,,V1, Variável ,"R$ 3.000,00","R$ 3.000,00","R$ 0,00",#REF!,,#NUM!,07/05/2026,04/08/2026,,,,,,,,,,"R$ 0,00",SMALL,"Chapeco, SC",E-commerce,Alimentício,MC e Breakeven | AMO Ofertas,[AMO Ofertas] Growth Pack 3.1 - 2026 | Wesley Elioenai,,AMO Ofertas Link do Contrato
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Não,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Não,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
